symbol,direction,entry_time,entry_price,sl,target1,target2,rr1,atr,outcome,exit_price,exit_time,pnl_pts
BANKNIFTY,BUY,2026-01-27 12:45:00+05:30,58739.7,58418.68,59221.23,59542.24,1.5,160.51,T1_HIT,59221.23,2026-01-27 15:15:00+05:30,481.53
BANKNIFTY,SELL,2026-01-30 11:45:00+05:30,59730.85,59978.18,59359.87,59112.54,1.5,123.66,SL_HIT,59978.18,2026-02-03 09:15:00+05:30,-247.32
BANKNIFTY,BUY,2026-02-06 14:30:00+05:30,59998.5,59820.95,60264.83,60442.39,1.5,88.78,T2_HIT,60442.39,2026-02-09 09:15:00+05:30,443.89
BANKNIFTY,SELL,2026-02-10 14:00:00+05:30,60645.1,60818.61,60384.84,60211.33,1.5,86.75,SL_HIT,60818.61,2026-02-12 09:30:00+05:30,-173.51
BANKNIFTY,SELL,2026-02-12 14:30:00+05:30,60690.1,60831.49,60478.02,60336.64,1.5,70.69,T1_HIT,60478.02,2026-02-13 09:15:00+05:30,212.08
BANKNIFTY,SELL,2026-02-23 12:00:00+05:30,61152.6,61355.68,60847.98,60644.91,1.5,101.54,SL_HIT,61355.68,2026-02-24 11:15:00+05:30,-203.08
BANKNIFTY,BUY,2026-02-25 09:30:00+05:30,61206.5,60917.77,61639.59,61928.32,1.5,144.36,SL_HIT,60917.77,2026-02-25 12:45:00+05:30,-288.73
BANKNIFTY,BUY,2026-02-26 09:30:00+05:30,61206.05,60940.6,61604.23,61869.69,1.5,132.73,SL_HIT,60940.6,2026-02-26 12:15:00+05:30,-265.46
BANKNIFTY,SELL,2026-02-27 09:30:00+05:30,60849.65,61128.61,60431.2,60152.23,1.5,139.48,T2_HIT,60152.23,2026-03-02 09:15:00+05:30,697.42
BANKNIFTY,BUY,2026-03-05 09:30:00+05:30,58997.65,58596.11,59599.95,60001.49,1.5,200.77,SL_HIT,58596.11,2026-03-05 13:45:00+05:30,-401.53
BANKNIFTY,SELL,2026-03-06 09:15:00+05:30,58571.45,59196.23,57634.27,57009.49,1.5,312.39,T2_HIT,57009.49,2026-03-09 09:15:00+05:30,1561.96
BANKNIFTY,BUY,2026-03-16 14:15:00+05:30,54193.9,53680.72,54963.66,55476.84,1.5,256.59,T1_HIT,54963.66,2026-03-17 14:45:00+05:30,769.77
BANKNIFTY,BUY,2026-03-20 10:30:00+05:30,54063.1,53696.67,54612.75,54979.18,1.5,183.22,SL_HIT,53696.67,2026-03-20 12:15:00+05:30,-366.43
BANKNIFTY,BUY,2026-03-24 10:15:00+05:30,52129.75,51556.27,52989.97,53563.45,1.5,286.74,T2_HIT,53563.45,2026-03-25 09:15:00+05:30,1433.7
BANKNIFTY,SELL,2026-04-02 09:15:00+05:30,50104.3,51115.98,48586.78,47575.1,1.5,505.84,SL_HIT,51115.98,2026-04-02 14:00:00+05:30,-1011.68
BANKNIFTY,SELL,2026-04-09 12:30:00+05:30,55126.65,55389.58,54732.25,54469.32,1.5,131.47,T1_HIT,54732.25,2026-04-09 14:15:00+05:30,394.4
BANKNIFTY,SELL,2026-04-13 09:15:00+05:30,54614.45,55586.58,53156.26,52184.13,1.5,486.06,SL_HIT,55586.58,2026-04-13 13:45:00+05:30,-972.13
BANKNIFTY,SELL,2026-04-16 12:00:00+05:30,56146.2,56433.96,55714.56,55426.8,1.5,143.88,SL_HIT,56433.96,2026-04-17 13:30:00+05:30,-287.76
BANKNIFTY,SELL,2026-04-22 10:15:00+05:30,57094.95,57360.57,56696.52,56430.89,1.5,132.81,SL_HIT,57360.57,2026-04-22 10:45:00+05:30,-265.62
BANKNIFTY,SELL,2026-04-22 14:45:00+05:30,57208.95,57367.25,56971.5,56813.19,1.5,79.15,T2_HIT,56813.19,2026-04-23 09:15:00+05:30,395.75
